T,Y1,Y2,Y3,YP1_1,YP1_2,YP1_3,YP2_1,YP2_2,YP2_3,YP3_1,YP3_2,YP3_3
0,0.333333333,0.333333333,0.333333333,1,0,0,0,1,0,0,0,1
1,0.21,0.61,0.18,0.58,0.35,0.07,0.01,0.99,0,0.04,0.49,0.47
2,0.1351,0.7656,0.0993,0.3427,0.5838,0.0735,0.0157,0.9836,0.0007,0.0469,0.7294,0.2237
3,0.089986,0.853886,0.056128,0.207544,0.733922,0.058534,0.01897,0.979602,0.001428,0.043444,0.848134,0.108422
4,0.06297586,0.90434496,0.03267918,0.1300561,0.82790484,0.04203906,0.02085574,0.9771452,0.00199906,0.03801574,0.90798484,0.05399942
5,0.046876616,0.93335586,0.019767525,0.085393149,0.885744566,0.028862285,0.021947744,0.975652796,0.00239946,0.033288954,0.938670216,0.028040829
6,0.037312697,0.950115204,0.0125721,0.059539963,0.920917242,0.019542794,0.022582198,0.974753714,0.002664088,0.029815929,0.954674655,0.015509417
7,0.0316454,0.959833824,0.008520776,0.044524063,0.942123026,0.013352911,0.022951775,0.974215349,0.002832875,0.027460362,0.963163097,0.009376541
8,0.028293501,0.965486556,0.006219943,0.035779303,0.954828144,0.009392552,0.023167498,0.973894426,0.002938076,0.025933703,0.967737098,0.0063292
9,0.026313894,0.968782188,0.004903918,0.030675979,0.96240497,0.006919051,0.023293616,0.973703763,0.00300262,0.024972086,0.970237831,0.004790083
10,0.025146037,0.970707149,0.004146814,0.02769288,0.966907848,0.005399272,0.02336744,0.973590775,0.003041785,0.024377792,0.971622823,0.003999385
